DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Na vrátkach;Na vrátkach;841 01;Bratislava 42;Bratislava 42;;Bratislava
Na vŕšku;Na vŕšku;811 01;Bratislava 1;Bratislava 1;;Bratislava
Na Vtáčniku;Na Vtáčniku;831 01;Bratislava 37;Bratislava 37;;Bratislava
Na vyhliadke;Na vyhliadke;841 07;Bratislava 49;Bratislava 49;;Bratislava
Na výslní;Na výslní;821 05;Bratislava 3;Bratislava 3;;Bratislava
Na Zlatej nohe;Na Zlatej nohe;831 01;Bratislava 37;Bratislava 37;;Bratislava
Nábělkova;Nábělkova;841 05;Bratislava 4;Bratislava 4;;Bratislava
Nábrežie arm. gen. Ludvíka Svobodu;Nábrežie arm. gen. L.Svobodu;811 02;Bratislava 1;Bratislava 1;;Bratislava
Nábrežie Dvořákovo;Nábrežie Dvořákovo;;;;pozri Dvořákovo nábrežie;Bratislava
Nábrežie Fajnorovo;Nábrežie Fajnorovo;;;;pozri Fajnorovo nábrežie;Bratislava
Nábrežie Milana Rastislava Štefánika;Nábrežie M. R. Štefánika;811 09;Bratislava 1;Bratislava 1;;Bratislava
Nábrežie Rázusovo;Nábrežie Rázusovo;;;;pozri Rázusovo nábrežie;Bratislava
Nábrežie Slovanské;Nábrežie Slovanské;;;;pozri Slovanské nábrežie;Bratislava
Nábrežie Tyršovo;Nábrežie Tyršovo;;;;pozri Tyršovo nábrežie;Bratislava
Nábrežie Vajanského;Nábrežie Vajanského;;;;pozri Vajanského nábrežie;Bratislava
Nábrežná;Nábrežná;851 01;Bratislava 5;Bratislava 5;;Bratislava
Nad Dunajom;Nad Dunajom;841 04;Bratislava 4;Bratislava 4;;Bratislava
Nad Gronárom;Nad Gronárom;841 10;Bratislava 49;Bratislava 49;;Bratislava
Nad jazierkom;Nad jazierkom;831 07;Bratislava 36;Bratislava 36;;Bratislava
Nad Kúriou;Nad kúriou;831 06;Bratislava 35;Bratislava 35;;Bratislava
Nad lomom;Nad lomom;811 02;Bratislava 1;Bratislava 1;;Bratislava
Nad lúčkami;Nad lúčkami;841 04;Bratislava 4;Bratislava 4;"č. 1-21;2,4";Bratislava
Nad lúčkami;Nad lúčkami;841 05;Bratislava 4;Bratislava 4;"nepár.č. 27-55; 16";Bratislava
Nad ostrovom;Nad ostrovom;841 04;Bratislava 4;Bratislava 4;;Bratislava
Nad Sihoťou;Nad Sihoťou;841 04;Bratislava 4;Bratislava 4;;Bratislava
Nad Válkom;Nad Válkom;831 07;Bratislava 36;Bratislava 36;;Bratislava
Nad záhradami;Nad záhradami;841 10;Bratislava 49;Bratislava 49;;Bratislava
Nákovná;Nákovná;821 06;Bratislava 214;Bratislava 214;;Bratislava
Nákupná;Nákupná;821 06;Bratislava 214;Bratislava 214;;Bratislava
Nám. Hraničiarov;Námestie Hraničiarov;851 03;Bratislava 5;Bratislava 5;;Bratislava
Námestie 1.mája;Námestie 1. mája;811 06;Bratislava 1;Bratislava 1;;Bratislava
Námestie 6. apríla;Nám. 6.apríla;841 07;Bratislava 49;Bratislava 49;;Bratislava
Námestie Alexandra Dubčeka;Námestie Alexandra Dubčeka;811 01;Bratislava 1;Bratislava 1;;Bratislava
Námestie Americké;Námestie Americké;;;;pozri Americké námestie;Bratislava
Námestie Andreja Hlinku;Námestie Andreja Hlinku;831 06;Bratislava 35;Bratislava 35;1,2,3,4,5,6,7;Bratislava
Námestie Biely kríž;Námestie Biely kríž;831 02;Bratislava 3;Bratislava 3;;Bratislava
Námestie Daliborovo;Námestie Daliborovo;;;;pozri Daliborovo námestie;Bratislava
Námestie Daxnerovo;Námestie Daxnerovo;;;;pozri Daxnerovo námestie;Bratislava
Námestie Dulovo;Námestie Dulovo;;;;pozri Dulovo námestie;Bratislava
Námestie E.Suchoňa;Námestie E.Suchoňa;;;;pozri Námestie Eugena Suchoňa;Bratislava
Námestie Eugena Suchoňa;Námestie Eugena Suchoňa;811 02;Bratislava 1;Bratislava 1;2,3,4;Bratislava
Námestie Floriánske;Námestie Floriánske;;;;pozri Floriánske námestie;Bratislava
Námestie Františkánske;Námestie Františkánske;;;;pozri Františkánske námestie;Bratislava
Námestie Franza Liszta;Námestie Franza Liszta;811 04;Bratislava 1;Bratislava 1;č. 1,4;Bratislava
Námestie hlavné;Námestie hlavné;;;;pozri Hlavné námestie;Bratislava
Námestie Hodžovo;Námestie Hodžovo;;;;pozri Hodžovo námestie;Bratislava
Námestie Hurbanovo;Námestie Hurbanovo;;;;pozri Hurbanovo námestie;Bratislava
Námestie Hviezdoslavovo;Námestie Hviezdoslavovo;;;;pozri Hviezdoslavovo námestie;Bratislava
Námestie Jakubovo;Námestie Jakubovo;;;;pozri Jakubovo námestie;Bratislava
Námestie Jána Kostru;Námestie Jána Kostru;841 08;Bratislava 49;Bratislava 49;;Bratislava
Námestie Jána Pavla II.;Námestie Jána Pavla II.;851 01;Bratislava 5;Bratislava 5;;Bratislava
Námestie kamenné;Námestie kamenné;;;;pozri Kamenné námestie;Bratislava
Námestie Karpatské;Námestie Karpatské;;;;pozri Karpatské námestie;Bratislava
Námestie Kežmarské;Námestie Kežmarské;;;;pozri Kežmarské námestie;Bratislava
Námestie Kmeťovo;Námestie Kmeťovo;;;;pozri Kmeťovo námestie;Bratislava
Námestie Kollárovo;Námestie Kollárovo;;;;pozri Kollárovo námestie;Bratislava
Námestie Komenského;Námestie Komenského;;;;pozri Komenského námestie;Bratislava
Námestie ľudové;Námestie ľudové;;;;pozri Ľudové námestie;Bratislava
Námestie Ľudovíta Štúra;Námestie Ľudovíta Štúra;811 02;Bratislava 1;Bratislava 1;;Bratislava
Námestie M. R. Štefánika;Námestie M. R. Štefánika;;;;pozri Námestie Milana Rastislava Štefánika;Bratislava
Námestie Malokarpatské;Námestie Malokarpatské;;;;pozri Malokarpatské námestie;Bratislava
Námestie Mánesovo;Námestie Mánesovo;;;;pozri Mánesovo námestie;Bratislava
Námestie Martina Benku;Námestie Martina Benku;811 07;Bratislava 1;Bratislava 1;;Bratislava
Námestie Mateja Korvína;Námestie Mateja Korvína;811 07;Bratislava 1;Bratislava 1;;Bratislava
Námestie Milana Rastislava Štefánika;Nám. M.R.Štefánika;811 09;Bratislava 1;Bratislava 1;č. 1;Bratislava
Námestie Muchovo;Námestie Muchovo;;;;pozri Muchovo námestie;Bratislava
Námestie Nobelovo;Námestie Nobelovo;;;;pozri Nobelovo námestie;Bratislava
Námestie odborárske;Námestie odborárske;;;;pozri Odborárske námestie;Bratislava
Námestie Ovsištské;Námestie Ovsištské;;;;pozri Ovšistské námestie;Bratislava
Námestie Papánkovo;Námestie Papánkovo;;;;pozri Papánkovo námestie;Bratislava
Námestie práce;Námestie práce;841 10;Bratislava 49;Bratislava 49;;Bratislava
Námestie predstaničné;Námestie predstaničné;;;;pozri Predstaničné námestie;Bratislava
Námestie pri zimnom štadióne;Námestie pri zimnom štadióne;;;;verejné priestranstvo;Bratislava
Námestie primaciálne;Námestie primaciálne;;;;pozri Primaciálne námestie;Bratislava
Námestie radničné;Námestie radničné;;;;pozri Radničné námestie;Bratislava
Námestie republiky;Námestie republiky;;;;verejné priestranstvo;Bratislava
Námestie Rodiny;Námestie Rodiny;841 06;Bratislava 48;Bratislava 48;;Bratislava
Námestie Rudnayovo;Námestie Rudnayovo;;;;pozri Rudnayovo námestie;Bratislava
Námestie rybné;Námestie rybné;;;;pozri Rybné námestie;Bratislava
Námestie slobody;Námestie slobody;811 04;Bratislava 1;Bratislava 1;č. 3;Bratislava
Námestie slobody;Námestie slobody;811 06;Bratislava 1;Bratislava 1;"nepár.č .1,9-13,17-29; č. 6,10,12,16,24,26";Bratislava
Námestie SNP;Námestie SNP;811 01;Bratislava 1;Bratislava 1;"nepár.č. 19-35; pár.č. 20-34";Bratislava
Námestie SNP;Námestie SNP;811 06;Bratislava 1;Bratislava 1;"nepár.č. 1-17; pár.č .2,6-18,24-26";Bratislava
Námestie sv. Cyrila a Metoda;Námestie sv. Cyrila a Metoda;841 10;Bratislava 49;Bratislava 49;;Bratislava
Námestie sv. Františka;Námestie sv. Františka;841 04;Bratislava 4;Bratislava 4;;Bratislava
Námestie sv. Petra a Pavla;Námestie sv. Petra a Pavla;841 06;Bratislava 48;Bratislava 48;;Bratislava
Námestie Šafárikovo;Námestie Šafárikovo;;;;pozri Šafárikovo námestie;Bratislava
Námestie Šrobárovo;Námestie Šrobárovo;;;;pozri Šrobárovo námestie;Bratislava
Námestie Štúrovo;Námestie Štúrovo;;;;pozri Námestie Ľudovíta Štúra;Bratislava
Námestie Titusa Zemana;Námestie Titusa Zemana;831 07;Bratislava 36;Bratislava 36;;Bratislava
Námestie trojičné;Námestie trojičné;;;;pozri Trojičné námestie;Bratislava
Námestie vlastenecké;Námestie vlastenecké;;;;pozri Vlastenecké námestie;Bratislava
Námestie župné;Námestie župné;;;;pozri Župné námestie;Bratislava
Narcisová;Narcisová;821 01;Bratislava 3;Bratislava 3;;Bratislava
Nedbalova;Nedbalova;811 01;Bratislava 1;Bratislava 1;;Bratislava
Nechtíková;Nechtíková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Nejedlého;Nejedlého;841 02;Bratislava 42;Bratislava 42;;Bratislava
Nekrasovova;Nekrasovova;811 04;Bratislava 1;Bratislava 1;;Bratislava
Němcovej;Němcovej;;;;pozri Boženy Němcovej;Bratislava
Nemčíkova;Nemčíkova;841 01;Bratislava 42;Bratislava 42;;Bratislava
Nemecká dolina;Nemecká Dolina;831 07;Bratislava 36;Bratislava 36;;Bratislava
Neronetová;Neronetová;831 02;Bratislava 3;Bratislava 3;;Bratislava
Nerudova;Nerudova;821 04;Bratislava 3;Bratislava 3;;Bratislava
Nevädzová;Nevädzová;821 01;Bratislava 3;Bratislava 3;;Bratislava
Nevská;Nevská;841 06;Bratislava 48;Bratislava 48;;Bratislava
Nezábudková;Nezábudková;821 01;Bratislava 3;Bratislava 3;;Bratislava
Nezvalova;Nezvalova;821 06;Bratislava 214;Bratislava 214;;Bratislava
Niťová;Niťová;821 08;Bratislava 3;Bratislava 3;1,2,3,4,6;Bratislava
Nitrianska;Nitrianska;821 08;Bratislava 3;Bratislava 3;;Bratislava
Nížinná;Nížinná;821 05;Bratislava 3;Bratislava 3;;Bratislava
Nobelova;Nobelova;831 02;Bratislava 3;Bratislava 3;;Bratislava
Nobelovo námestie;Nobelovo námestie;851 01;Bratislava 5;Bratislava 5;;Bratislava
Nová;Nová;831 03;Bratislava 3;Bratislava 3;;Bratislava
Nová Bellova;Nová Bellova;831 01;Bratislava 37;Bratislava 37;;Bratislava
Nová hora;Nová hora;831 06;Bratislava 35;Bratislava 35;;Bratislava
Nová Rožňavská ;Nová Rožňavská ;831 04;Bratislava 3;Bratislava 3;;Bratislava
Novackého;Novackého;841 04;Bratislava 4;Bratislava 4;;Bratislava
Nové pálenisko;Nové pálenisko;821 05;Bratislava 3;Bratislava 3;;Bratislava
Nové Šuty;Nové Šuty;831 07;Bratislava 36;Bratislava 36;;Bratislava
Nové záhrady;Nové záhrady;821 05;Bratislava 3;Bratislava 3;č. 34;Bratislava
Nové záhrady I;Nové záhrady I;821 05;Bratislava 3;Bratislava 3;1 až 30,6A;Bratislava
Nové záhrady II;Nové záhrady II;821 05;Bratislava 3;Bratislava 3;1 až 30;Bratislava
Nové záhrady III;Nové záhrady III;821 05;Bratislava 3;Bratislava 3;1 až 30;Bratislava
Nové záhrady IV;Nové záhrady IV;821 05;Bratislava 3;Bratislava 3;1,2,3,4;Bratislava
Nové záhrady V;Nové záhrady V;821 05;Bratislava 3;Bratislava 3;1 až 30;Bratislava
Nové záhrady VI;Nové záhrady VI.;821 05;Bratislava 3;Bratislava 3;1 až 30;Bratislava
Nové záhrady VII;Nové záhrady VII;821 05;Bratislava 3;Bratislava 3;;Bratislava
Novinárska;Novinárska;831 03;Bratislava 3;Bratislava 3;;Bratislava
Novobanská;Novobanská;851 01;Bratislava 5;Bratislava 5;;Bratislava
Novodvorská;Novodvorská;841 01;Bratislava 42;Bratislava 42;;Bratislava
Novohorská;Novohorská;831 06;Bratislava 35;Bratislava 35;;Bratislava
Novohradská;Novohradská;821 09;Bratislava 3;Bratislava 3;;Bratislava
Novosadná;Novosadná;851 10;Bratislava 59;Bratislava 59;1-22,24;Bratislava
Novosvetská;Novosvetská;811 04;Bratislava 1;Bratislava 1;"nepár. 27-45, 41A,C, 43A;";Bratislava
Novosvetská;Novosvetská;811 04;Bratislava 1;Bratislava 1;pár.č. 32-64, 54A, 40A;Bratislava
Novosvetská;Novosvetská;811 06;Bratislava 1;Bratislava 1;"nepár.č. 3-25; pár.č. 2-28";Bratislava
Novoveská;Novoveská;841 07;Bratislava 49;Bratislava 49;;Bratislava
Nový kameňolom;Nový kameňolom;841 10;Bratislava 49;Bratislava 49;;Bratislava
Nový záhon;Nový záhon;831 54;Bratislava 35;Bratislava 35;;Bratislava
Obežná;Obežná;821 02;Bratislava 3;Bratislava 3;;Bratislava
Obchodná;Obchodná;811 06;Bratislava 1;Bratislava 1;;Bratislava
Oblačná;Oblačná;831 06;Bratislava 35;Bratislava 35;;Bratislava
Oblúková;Oblúková;821 06;Bratislava 214;Bratislava 214;;Bratislava
Očovská;Očovská;851 02;Bratislava 5;Bratislava 5;;Bratislava
Odbojárov;Odbojárov;831 04;Bratislava 3;Bratislava 3;;Bratislava
Odborárska;Odborárska;831 02;Bratislava 3;Bratislava 3;;Bratislava
Odborárske námestie;Odborárske námestie;811 07;Bratislava 1;Bratislava 1;"nepár.č. 1-5; pár.č.2-8";Bratislava
Odborárske námestie;Odborárske námestie;811 08;Bratislava 1;Bratislava 1;č. 14;Bratislava
Odeská;Odeská;821 06;Bratislava 214;Bratislava 214;;Bratislava
Ohnicová;Ohnicová;821 05;Bratislava 3;Bratislava 3;;Bratislava
Ochotnícka;Ochotnícka;831 07;Bratislava 36;Bratislava 36;;Bratislava
Okánikova;Okánikova;811 04;Bratislava 1;Bratislava 1;;Bratislava
Okružná;Okružná;821 04;Bratislava 3;Bratislava 3;;Bratislava
Olbrachtova;Olbrachtova;831 04;Bratislava 3;Bratislava 3;;Bratislava
Oleandrová;Oleandrová;851 10;Bratislava 59;Bratislava 59;;Bratislava
Olejkárska;Olejkárska;811 09;Bratislava 1;Bratislava 1;;Bratislava
Olivová;Olivová;831 01;Bratislava 37;Bratislava 37;;Bratislava
Olšová;Olšová;831 06;Bratislava 35;Bratislava 35;;Bratislava
Ondavská;Ondavská;821 08;Bratislava 3;Bratislava 3;;Bratislava
Ondrejovova;Ondrejovova;821 03;Bratislava 3;Bratislava 3;;Bratislava
Ondrejská;Ondrejská;831 06;Bratislava 35;Bratislava 35;;Bratislava
Opálová;Opálová;851 10;Bratislava 59;Bratislava 59;;Bratislava
Opavská;Opavská;831 01;Bratislava 37;Bratislava 37;;Bratislava
Opletalova;Opletalova;841 07;Bratislava 49;Bratislava 49;;Bratislava
Oráčska;Oráčska;831 06;Bratislava 35;Bratislava 35;;Bratislava
Oravská;Oravská;821 09;Bratislava 3;Bratislava 3;;Bratislava
Orechová;Orechová;821 06;Bratislava 214;Bratislava 214;;Bratislava
Orechová cesta;Orechová cesta;851 04;Bratislava 5;Bratislava 5;;Bratislava
Orechový rad;Orechový rad;821 05;Bratislava 3;Bratislava 3;;Bratislava
Orenburská;Orenburská;821 06;Bratislava 214;Bratislava 214;;Bratislava
Orgovánová;Orgovánová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Orchideová;Orchideová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Oriešková;Oriešková;821 05;Bratislava 3;Bratislava 3;;Bratislava
Ormisova;Ormisova;831 02;Bratislava 3;Bratislava 3;;Bratislava
Osadná;Osadná;831 03;Bratislava 3;Bratislava 3;;Bratislava
Osada pri tehelni;Osada pri tehelni;821 07;Bratislava 214;Bratislava 214;;Bratislava
Osijecká;Osijecká;851 10;Bratislava 59;Bratislava 59;;Bratislava
Osiková;Osiková;821 07;Bratislava 214;Bratislava 214;;Bratislava
Oskorušová;Oskorušová;841 01;Bratislava 42;Bratislava 42;;Bratislava
Osloboditeľská;Osloboditeľská;831 07;Bratislava 36;Bratislava 36;;Bratislava
Ostravská;Ostravská;811 04;Bratislava 1;Bratislava 1;;Bratislava
Ostredková;Ostredková;821 02;Bratislava 3;Bratislava 3;;Bratislava
Ostricová;Ostricová;841 10;Bratislava 49;Bratislava 49;;Bratislava
Ostriežová;Ostriežová;841 06;Bratislava 48;Bratislava 48;;Bratislava
Ostružinová;Ostružinová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Ostružinový chodník;Ostružinový chodník;841 03;Bratislava 42;Bratislava 42;;Bratislava
Osuského;Osuského;851 03;Bratislava 5;Bratislava 5;;Bratislava
Osvetová;Osvetová;821 05;Bratislava 3;Bratislava 3;;Bratislava
Ota Holúska;Ota Holúska;841 06;Bratislava 48;Bratislava 48;;Bratislava
Otonelská;Otonelská;831 02;Bratislava 3;Bratislava 3;;Bratislava
Ovčiarska;Ovčiarska;821 06;Bratislava 214;Bratislava 214;;Bratislava
Ovocná;Ovocná;851 10;Bratislava 59;Bratislava 59;;Bratislava
Ovručská;Ovručská;831 02;Bratislava 3;Bratislava 3;;Bratislava
Ovsená;Ovsená;851 10;Bratislava 59;Bratislava 59;;Bratislava
Ovsištské námestie;Ovsištské námestie;851 04;Bratislava 5;Bratislava 5;;Bratislava
Ožvoldíkova;Ožvoldíkova;841 02;Bratislava 42;Bratislava 42;;Bratislava
Ôsma;Ôsma;831 01;Bratislava 37;Bratislava 37;;Bratislava
Padlých hrdinov;Padlých hrdinov;821 06;Bratislava 214;Bratislava 214;;Bratislava
Pajštúnska;Pajštúnska;851 02;Bratislava 5;Bratislava 5;;Bratislava
Palackého;Palackého;;;;pozri Eugena Suchoňa;Bratislava
Palárikova;Palárikova;811 04;Bratislava 1;Bratislava 1;nepár.č. 11-31, pár.č. 12-22;Bratislava
Palárikova;Palárikova;811 05;Bratislava 1;Bratislava 1;"nepár.č. 1-9; pár.č .2-10";Bratislava
Pálavská;Pálavská;831 02;Bratislava 3;Bratislava 3;;Bratislava
Pálenisko;Pálenisko;;;;pozri Malé Pálenisko;Bratislava
Pálenisko;Pálenisko;;;;pozri Nové Pálenisko;Bratislava
Palinová;Palinová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Palisády;Palisády;811 01;Bratislava 1;Bratislava 1;nepár.č. 1-5;Bratislava
Palisády;Palisády;811 03;Bratislava 1;Bratislava 1;"nepár. č. 7-21; číslo 2";Bratislava
Palisády;Palisády;811 06;Bratislava 1;Bratislava 1;"pár.č. 4-56; nepár.č. 23-43, 47-59";Bratislava
Palkovičova;Palkovičova;821 08;Bratislava 3;Bratislava 3;;Bratislava
Palmová;Palmová;851 10;Bratislava 59;Bratislava 59;;Bratislava
Panenská;Panenská;811 03;Bratislava 1;Bratislava 1;;Bratislava
Pankúchova;Pankúchova;851 04;Bratislava 5;Bratislava 5;;Bratislava
Panónska cesta;Panónska cesta;851 04;Bratislava 5;Bratislava 5;;Bratislava
Panská;Panská;811 01;Bratislava 1;Bratislava 1;;Bratislava
Pántikova;Pántikova;841 01;Bratislava 42;Bratislava 42;č. 1;Bratislava
Papánkovo námestie;Papánkovo námestie;821 03;Bratislava 3;Bratislava 3;;Bratislava
Papraďová;Papraďová;821 01;Bratislava 3;Bratislava 3;;Bratislava
Parašutistov;Parašutistov;;;;pozri Československých parašutistov;Bratislava
Parcelná;Parcelná;821 06;Bratislava 214;Bratislava 214;;Bratislava
Parenicová;Parenicová;821 06;Bratislava 214;Bratislava 214;;Bratislava
Páričkova;Páričkova;821 08;Bratislava 3;Bratislava 3;;Bratislava
Parková;Parková;821 05;Bratislava 3;Bratislava 3;;Bratislava
Párna;Párna;821 05;Bratislava 3;Bratislava 3;;Bratislava
Partizánska;Partizánska;811 03;Bratislava 1;Bratislava 1;;Bratislava
Pasienková;Pasienková;821 06;Bratislava 214;Bratislava 214;;Bratislava
Pasienky;Pasienky;831 04;Bratislava 3;Bratislava 3;;Bratislava
Pastierska;Pastierska;831 06;Bratislava 35;Bratislava 35;;Bratislava
Paulínyho;Paulínyho;811 02;Bratislava 1;Bratislava 1;;Bratislava
Pave Vukoviča;Pave Vukoviča;851 10;Bratislava 59;Bratislava 59;;Bratislava
Pavla Blaha;Pavla Blaha;841 06;Bratislava 48;Bratislava 48;;Bratislava
Pavla Horova;Pavla Horova;841 08;Bratislava 49;Bratislava 49;;Bratislava
Pavlovičova;Pavlovičova;821 04;Bratislava 3;Bratislava 3;;Bratislava
Pavlovova;Pavlovova;821 08;Bratislava 3;Bratislava 3;;Bratislava
Pavlovská;Pavlovská;831 03;Bratislava 3;Bratislava 3;;Bratislava
Pažického;Pažického;811 06;Bratislava 1;Bratislava 1;;Bratislava
Pažítková;Pažítková;821 01;Bratislava 3;Bratislava 3;;Bratislava
Pečnianska;Pečnianska;851 01;Bratislava 5;Bratislava 5;;Bratislava
Pekná cesta;Pekná cesta;831 52;Bratislava 35;Bratislava 35;"nepár. č. 7-11, 17-23, 23B, 31; pár. č. 4, 6, 6A";Bratislava
Pekná cesta;Pekná cesta;831 52;Bratislava 35;Bratislava 35;"pár.č. 12; 18-24; čísla 25, 27, 33";Bratislava
Pekná cesta;Pekná cesta;831 54;Bratislava 35;Bratislava 35;č. 2, 2A, 3, 5;Bratislava
Pekná vyhliadka;Pekná vyhliadka;831 01;Bratislava 37;Bratislava 37;;Bratislava
Pekníkova;Pekníkova;841 02;Bratislava 42;Bratislava 42;;Bratislava
Perličková;Perličková;821 06;Bratislava 214;Bratislava 214;;Bratislava
Pernecká;Pernecká;841 04;Bratislava 4;Bratislava 4;;Bratislava
Pestovateľská;Pestovateľská;821 04;Bratislava 3;Bratislava 3;;Bratislava
Petara Pasicha;Petara Pasicha;851 10;Bratislava 59;Bratislava 59;;Bratislava
Peterská;Peterská;821 03;Bratislava 3;Bratislava 3;;Bratislava
Petőfiho;Petőfiho;821 06;Bratislava 214;Bratislava 214;;Bratislava
Petržalská;Petržalská;851 10;Bratislava 59;Bratislava 59;;Bratislava
Petúniová;Petúniová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Petzvalova;Petzvalova;821 03;Bratislava 3;Bratislava 3;;Bratislava
Pezinská;Pezinská;831 02;Bratislava 3;Bratislava 3;;Bratislava
Piata;Piata;831 01;Bratislava 37;Bratislava 37;;Bratislava
Piesková;Piesková;831 06;Bratislava 35;Bratislava 35;;Bratislava
Pieskovcová;Pieskovcová;841 07;Bratislava 49;Bratislava 49;;Bratislava
Piesočná;Piesočná;821 04;Bratislava 3;Bratislava 3;;Bratislava
Piešťanská;Piešťanská;831 02;Bratislava 3;Bratislava 3;;Bratislava
Pifflova;Pifflova;851 01;Bratislava 5;Bratislava 5;;Bratislava
Pilárikova;Pilárikova;811 03;Bratislava 1;Bratislava 1;;Bratislava
Pílová;Pílová;851 10;Bratislava 59;Bratislava 59;;Bratislava
Píniová;Píniová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Pinotová;Pinotová;831 02;Bratislava 3;Bratislava 3;;Bratislava
Pionierska;Pionierska;831 01;Bratislava 37;Bratislava 37;"nepár.č. 1-9, 1A; pár.č. 2-8";Bratislava
Pionierska;Pionierska;831 02;Bratislava 3;Bratislava 3;nepár.č. 9A, 11-21, pár.č.12-16;Bratislava
Pišútova;Pišútova;;;;pozri Milana Pišúta;Bratislava
Pivoňková;Pivoňková;821 01;Bratislava 3;Bratislava 3;;Bratislava
Plachého;Plachého;840 02;Bratislava 42;Bratislava 42;č. 42;Bratislava
Plachého;Plachého;841 02;Bratislava 42;Bratislava 42;"nepár.č. 1-45; párne č. 2,4-18; 31A,";Bratislava
Planckova;Planckova;851 01;Bratislava 5;Bratislava 5;;Bratislava
Planét;Planét;821 02;Bratislava 3;Bratislava 3;;Bratislava
Plánky;Plánky;840 02;Bratislava 42;Bratislava 42;;Bratislava
Platanová;Platanová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Plátenícka;Plátenícka;821 09;Bratislava 3;Bratislava 3;;Bratislava
Plavecká;Plavecká;841 06;Bratislava 48;Bratislava 48;;Bratislava
Plávkova;Plávkova;;;;pozri Andreja Plávku;Bratislava
Plickova;Plickova;831 06;Bratislava 35;Bratislava 35;;Bratislava
Plitvická;Plitvická;851 10;Bratislava 59;Bratislava 59;;Bratislava
plk. Prvoniča;plk. Prvoniča;841 06;Bratislava 48;Bratislava 48;;Bratislava
Pluhová;Pluhová;831 03;Bratislava 3;Bratislava 3;;Bratislava
Plynárenská;Plynárenská;821 09;Bratislava 3;Bratislava 3;;Bratislava
Plzenská;Plzenská;831 03;Bratislava 3;Bratislava 3;;Bratislava
Pobrežná;Pobrežná;851 01;Bratislava 5;Bratislava 5;;Bratislava
Pod agátmi;Pod agátmi;821 07;Bratislava 214;Bratislava 214;;Bratislava
Pod Bôrikom;Pod Bôrikom;811 02;Bratislava 1;Bratislava 1;;Bratislava
Pod brehmi;Pod brehmi;841 03;Bratislava 42;Bratislava 42;;Bratislava
Pod gaštanmi;Pod gaštanmi;821 07;Bratislava 214;Bratislava 214;;Bratislava
Pod Glavicou;Pod Glavicou;841 08;Bratislava 49;Bratislava 49;Devínska Nová Ves;Bratislava
Pod Kalváriou;Pod Kalváriou;811 04;Bratislava 1;Bratislava 1;;Bratislava
Pod Klepáčom;Pod Klepáčom;831 01;Bratislava 37;Bratislava 37;;Bratislava
Pod Kobylou;Pod Kobylou;841 10;Bratislava 49;Bratislava 49;;Bratislava
Pod Krásnou hôrkou;Pod Krásnou hôrkou;831 01;Bratislava 37;Bratislava 37;;Bratislava
Pod krížom;Pod krížom;831 01;Bratislava 37;Bratislava 37;;Bratislava
Pod lesom;Pod lesom;841 04;Bratislava 4;Bratislava 4;;Bratislava
Pod lipami;Pod lipami;831 07;Bratislava 36;Bratislava 36;;Bratislava
Pod Lipovým;Pod Lipovým;841 07;Bratislava 49;Bratislava 49;;Bratislava
Pod násypom;Pod násypom;841 03;Bratislava 42;Bratislava 42;;Bratislava
Pod Rovnicami;Pod Rovnicami;841 04;Bratislava 4;Bratislava 4;;Bratislava
Pod skalou;Pod skalou;841 10;Bratislava 49;Bratislava 49;;Bratislava
Pod srdcom;Pod srdcom;841 07;Bratislava 49;Bratislava 49;;Bratislava
Pod Strážami;Pod Strážami;831 01;Bratislava 37;Bratislava 37;;Bratislava
Pod Vachmajstrom;Pod Vachmajstrom;831 01;Bratislava 37;Bratislava 37;;Bratislava
Pod Válkom;Pod Válkom;831 07;Bratislava 36;Bratislava 36;;Bratislava
Pod vinicami;Pod vinicami;811 02;Bratislava 1;Bratislava 1;;Bratislava
Pod Vtáčnikom;Pod Vtáčnikom;831 01;Bratislava 37;Bratislava 37;;Bratislava
Pod záhradami;Pod záhradami;841 01;Bratislava 42;Bratislava 42;"nepár.č. 1-45; pár.č.4-60, 60A,68B,66A, 66";Bratislava
Pod záhradami;Pod záhradami;841 02;Bratislava 42;Bratislava 42;"č. 2, 2A; pár.č. 62, 64, 64A";Bratislava
Pod Zečákom;Pod Zečákom;841 03;Bratislava 42;Bratislava 42;;Bratislava
Podbeľová;Podbeľová;821 07;Bratislava 214;Bratislava 214;;Bratislava
Podbrezovská;Podbrezovská;831 06;Bratislava 35;Bratislava 35;;Bratislava
Podháj;Podháj;841 03;Bratislava 42;Bratislava 42;;Bratislava
Podhorská;Podhorská;841 07;Bratislava 49;Bratislava 49;;Bratislava
Podhorského;Podhorského;811 04;Bratislava 1;Bratislava 1;;Bratislava
Podjavorinskej;Podjavorinskej;811 03;Bratislava 1;Bratislava 1;;Bratislava
Podkarpatská;Podkarpatská;831 06;Bratislava 35;Bratislava 35;;Bratislava
